Acetylene 90K, FTIR 4 wavenumber FWHM

      Microns         uncorrected reflectance
       1.636412       1.148372
       1.636929       1.141406
       1.637446       1.131297
       1.637964       1.138753
       1.638481       1.148769
       1.638999       1.144514
       1.639518       1.136543
       1.640036       1.141431
       1.640555       1.148842
       1.641075       1.145146
       1.641594       1.141497
       1.642114       1.143091
       1.642634       1.138101
       1.643155       1.133847
       1.643676       1.132662
       1.644197       1.129349
       1.644719       1.132049
       1.645241       1.148428
       1.645763       1.153906
       1.646286       1.142276
       1.646809       1.129844
       1.647332       1.122128
       1.647856       1.122239
       1.648380       1.128679
       1.648904       1.124945
       1.649429       1.108679
       1.649953       1.103567
       1.650479       1.121184
       1.651004       1.133254
       1.651531       1.136231
       1.652057       1.133895
       1.652583       1.119547
       1.653110       1.108029
       1.653638       1.101422
       1.654165       1.095032
       1.654693       1.083703
       1.655222       1.085337
       1.655750       1.089761
       1.656279       1.088507
       1.656809       1.100644
       1.657338       1.111738
       1.657868       1.095755
       1.658399       1.076055
       1.658929       1.088819
       1.659460       1.105447
       1.659992       1.094663
       1.660523       1.080147
       1.661055       1.085876
       1.661588       1.095265
       1.662121       1.094226
       1.662654       1.082749
       1.663187       1.080732
       1.663721       1.096680
       1.664255       1.105973
       1.664789       1.103755
       1.665324       1.101535
       1.665859       1.089275
       1.666395       1.089504
       1.666931       1.101659
       1.667467       1.096630
       1.668003       1.085690
       1.668540       1.084506
       1.669077       1.078733
       1.669615       1.073426
       1.670153       1.069803
       1.670691       1.060297
       1.671229       1.056049
       1.671769       1.057414
       1.672308       1.062568
       1.672847       1.064219
       1.673387       1.051605
       1.673928       1.056041
       1.674468       1.062296
       1.675009       1.061141
       1.675551       1.057861
       1.676093       1.053378
       1.676635       1.051373
       1.677177       1.049788
       1.677720       1.057645
       1.678263       1.064659
       1.678806       1.059269
       1.679350       1.057109
       1.679894       1.063797
       1.680439       1.067234
       1.680984       1.062571
       1.681529       1.064369
       1.682074       1.070466
       1.682621       1.066890
       1.683167       1.061945
       1.683714       1.059546
       1.684260       1.059910
       1.684808       1.058591
       1.685356       1.057771
       1.685904       1.054601
       1.686452       1.049960
       1.687001       1.054411
       1.687550       1.062587
       1.688100       1.058937
       1.688650       1.053393
       1.689200       1.059474
       1.689751       1.068216
       1.690302       1.064066
       1.690853       1.044740
       1.691405       1.023120
       1.691957       1.008951
       1.692509       1.011600
       1.693061       1.014132
       1.693615       1.011689
       1.694168       1.011786
       1.694722       1.013606
       1.695276       1.028386
       1.695831       1.052830
       1.696385       1.060119
       1.696941       1.056066
       1.697497       1.057952
       1.698053       1.058790
       1.698609       1.060914
       1.699166       1.059293
       1.699723       1.058851
       1.700280       1.058051
       1.700838       1.047792
       1.701396       1.038463
       1.701955       1.041194
       1.702514       1.047872
       1.703073       1.049227
       1.703633       1.048391
       1.704193       1.047289
       1.704753       1.044934
       1.705314       1.048924
       1.705875       1.047844
       1.706436       1.044028
       1.706998       1.037765
       1.707561       1.042191
       1.708123       1.053565
       1.708686       1.055804
       1.709250       1.052068
       1.709813       1.043275
       1.710377       1.033677
       1.710942       1.035166
       1.711507       1.041552
       1.712072       1.037084
       1.712638       1.027183
       1.713204       1.027025
       1.713770       1.035197
       1.714337       1.037652
       1.714904       1.027659
       1.715471       1.014260
       1.716039       1.015108
       1.716607       1.015341
       1.717176       1.005923
       1.717745       1.003174
       1.718314       1.007525
       1.718884       1.004470
       1.719454       0.997117
       1.720024       0.994955
       1.720595       1.000535
       1.721167       1.001256
       1.721738       0.989620
       1.722310       0.963891
       1.722883       0.959402
       1.723455       0.988503
       1.724029       0.990429
       1.724602       0.944833
       1.725176       0.918042
       1.725750       0.959898
       1.726325       0.998426
       1.726900       1.006755
       1.727476       1.010761
       1.728051       1.016090
       1.728628       1.020705
       1.729204       1.015505
       1.729781       1.005798
       1.730358       0.999871
       1.730936       0.998489
       1.731514       1.000570
       1.732093       1.003566
       1.732672       1.005493
       1.733251       1.001622
       1.733831       0.996499
       1.734411       0.998745
       1.734991       1.009094
       1.735572       1.008548
       1.736153       1.003353
       1.736735       1.003625
       1.737317       1.001605
       1.737900       1.004680
       1.738482       1.010289
       1.739066       1.005092
       1.739649       1.000497
       1.740233       1.000733
       1.740817       1.001384
       1.741402       1.003751
       1.741987       1.004385
       1.742573       1.004071
       1.743159       1.001145
       1.743745       0.998365
       1.744332       0.993574
       1.744919       0.995825
       1.745506       0.998805
       1.746094       0.995436
       1.746683       0.989577
       1.747271       0.986149
       1.747860       0.988777
       1.748450       1.000514
       1.749040       1.006103
       1.749630       0.999733
       1.750221       0.996583
       1.750812       0.995307
       1.751403       0.993797
       1.751995       0.994326
       1.752588       0.992101
       1.753180       0.984845
       1.753773       0.978266
       1.754367       0.984348
       1.754961       0.992542
       1.755555       0.993592
       1.756150       0.990959
       1.756745       0.990436
       1.757340       0.993803
       1.757936       0.993052
       1.758533       0.992357
       1.759129       0.991437
       1.759726       0.989175
       1.760324       0.988845
       1.760922       0.986148
       1.761520       0.984895
       1.762119       0.987921
       1.762718       0.984929
       1.763318       0.983938
       1.763918       0.985025
       1.764518       0.979150
       1.765119       0.973273
       1.765720       0.977487
       1.766322       0.982717
       1.766924       0.987762
       1.767526       0.995032
       1.768129       0.993331
       1.768732       0.978052
       1.769336       0.964352
       1.769940       0.965151
       1.770545       0.974517
       1.771149       0.977247
       1.771755       0.971147
       1.772360       0.965373
       1.772967       0.967234
       1.773573       0.968749
       1.774180       0.965314
       1.774787       0.962562
       1.775395       0.957891
       1.776004       0.955977
       1.776612       0.954452
       1.777221       0.953306
       1.777831       0.955719
       1.778441       0.959097
       1.779051       0.965868
       1.779662       0.962564
       1.780273       0.950489
       1.780884       0.946433
       1.781496       0.949440
       1.782109       0.952835
       1.782721       0.953939
       1.783335       0.947861
       1.783948       0.939532
       1.784562       0.938224
       1.785177       0.944512
       1.785792       0.948962
       1.786407       0.947042
       1.787023       0.940498
       1.787639       0.931723
       1.788256       0.933597
       1.788873       0.941423
       1.789491       0.942932
       1.790108       0.936013
       1.790727       0.928290
       1.791346       0.924770
       1.791965       0.923288
       1.792585       0.924516
       1.793205       0.923621
       1.793825       0.922079
       1.794446       0.921658
